#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10379E+04    0.32743E+01    0.13450E-02    0.32743E+01    0.52915E-01   -0.64204E-05    0.13450E-02   -0.64204E-05    0.84475E-08
     3    0.98063E+03    0.40966E+01    0.95328E-03    0.40966E+01    0.85243E-01   -0.55511E-05    0.95328E-03   -0.55511E-05    0.51580E-08
     4    0.92466E+03    0.42153E+01    0.72302E-03    0.42153E+01    0.94220E-01   -0.43045E-05    0.72302E-03   -0.43045E-05    0.35767E-08
     5    0.88135E+03    0.39078E+01    0.57179E-03    0.39078E+01    0.81908E-01   -0.30626E-05    0.57179E-03   -0.30626E-05    0.26630E-08
     6    0.85057E+03    0.33953E+01    0.46542E-03    0.33953E+01    0.59169E-01   -0.19678E-05    0.46542E-03   -0.19678E-05    0.20753E-08
     7    0.83013E+03    0.28230E+01    0.38702E-03    0.28230E+01    0.36823E-01   -0.10841E-05    0.38702E-03   -0.10841E-05    0.16704E-08
     8    0.81740E+03    0.22781E+01    0.32725E-03    0.22781E+01    0.20912E-01   -0.43074E-06    0.32725E-03   -0.43074E-06    0.13773E-08
     9    0.81086E+03    0.18129E+01    0.28050E-03    0.18129E+01    0.12312E-01    0.19366E-08    0.28050E-03    0.19366E-08    0.11572E-08
    10    0.80906E+03    0.14548E+01    0.24320E-03    0.14548E+01    0.88538E-02    0.24275E-06    0.24320E-03    0.24275E-06    0.98694E-09
    11    0.81083E+03    0.12104E+01    0.21307E-03    0.12104E+01    0.77570E-02    0.33269E-06    0.21307E-03    0.33269E-06    0.85234E-09
    12    0.81578E+03    0.10723E+01    0.18831E-03    0.10723E+01    0.71963E-02    0.31722E-06    0.18831E-03    0.31722E-06    0.74354E-09
    13    0.82262E+03    0.10211E+01    0.16775E-03    0.10211E+01    0.64199E-02    0.23851E-06    0.16775E-03    0.23851E-06    0.65449E-09
    14    0.83100E+03    0.10333E+01    0.15046E-03    0.10333E+01    0.56786E-02    0.13455E-06    0.15046E-03    0.13455E-06    0.58040E-09
    15    0.84079E+03    0.10859E+01    0.13576E-03    0.10859E+01    0.51984E-02    0.30936E-07    0.13576E-03    0.30936E-07    0.51815E-09
    16    0.85185E+03    0.11584E+01    0.12310E-03    0.11584E+01    0.51040E-02   -0.52852E-07    0.12310E-03   -0.52852E-07    0.46522E-09
    17    0.86401E+03    0.12351E+01    0.11212E-03    0.12351E+01    0.53586E-02   -0.10933E-06    0.11212E-03   -0.10933E-06    0.41990E-09
    18    0.87645E+03    0.13056E+01    0.10252E-03    0.13056E+01    0.57139E-02   -0.13586E-06    0.10252E-03   -0.13586E-06    0.38074E-09
    19    0.89046E+03    0.13683E+01    0.94076E-04    0.13683E+01    0.60831E-02   -0.13715E-06    0.94076E-04   -0.13715E-06    0.34668E-09
    20    0.90479E+03    0.14212E+01    0.86583E-04    0.14212E+01    0.64935E-02   -0.12005E-06    0.86583E-04   -0.12005E-06    0.31681E-09
    21    0.91960E+03    0.14669E+01    0.79906E-04    0.14669E+01    0.69996E-02   -0.92639E-07    0.79906E-04   -0.92639E-07    0.29051E-09
    22    0.93489E+03    0.15081E+01    0.73938E-04    0.15081E+01    0.77326E-02   -0.62766E-07    0.73938E-04   -0.62766E-07    0.26724E-09
    23    0.95047E+03    0.15492E+01    0.68602E-04    0.15492E+01    0.87438E-02   -0.36219E-07    0.68602E-04   -0.36219E-07    0.24654E-09
    24    0.96647E+03    0.15937E+01    0.63827E-04    0.15937E+01    0.10022E-01   -0.17340E-07    0.63827E-04   -0.17340E-07    0.22804E-09
    25    0.98288E+03    0.16422E+01    0.59530E-04    0.16422E+01    0.11559E-01   -0.67501E-08    0.59530E-04   -0.67501E-08    0.21143E-09
    26    0.99955E+03    0.16950E+01    0.55633E-04    0.16950E+01    0.13310E-01   -0.38719E-08    0.55633E-04   -0.38719E-08    0.19648E-09
    27    0.10166E+04    0.17493E+01    0.52103E-04    0.17493E+01    0.15253E-01   -0.70412E-08    0.52103E-04   -0.70412E-08    0.18298E-09
    28    0.10339E+04    0.18024E+01    0.48907E-04    0.18024E+01    0.17395E-01   -0.14248E-07    0.48907E-04   -0.14248E-07    0.17074E-09
    29    0.10516E+04    0.18517E+01    0.46000E-04    0.18517E+01    0.19725E-01   -0.23182E-07    0.46000E-04   -0.23182E-07    0.15961E-09
    30    0.10695E+04    0.18937E+01    0.43332E-04    0.18937E+01    0.22239E-01   -0.31564E-07    0.43332E-04   -0.31564E-07    0.14947E-09
    31    0.10876E+04    0.19260E+01    0.40881E-04    0.19260E+01    0.24944E-01   -0.37551E-07    0.40881E-04   -0.37551E-07    0.14019E-09
    32    0.11060E+04    0.19471E+01    0.38624E-04    0.19471E+01    0.27837E-01   -0.39843E-07    0.38624E-04   -0.39843E-07    0.13169E-09
    33    0.11247E+04    0.19559E+01    0.36545E-04    0.19559E+01    0.30918E-01   -0.38884E-07    0.36545E-04   -0.38884E-07    0.12389E-09
    34    0.11436E+04    0.19524E+01    0.34623E-04    0.19524E+01    0.34205E-01   -0.35538E-07    0.34623E-04   -0.35538E-07    0.11671E-09
    35    0.11629E+04    0.19370E+01    0.32840E-04    0.19370E+01    0.37727E-01   -0.30587E-07    0.32840E-04   -0.30587E-07    0.11009E-09
    36    0.11823E+04    0.19096E+01    0.31179E-04    0.19096E+01    0.41516E-01   -0.24826E-07    0.31179E-04   -0.24826E-07    0.10397E-09
    37    0.12019E+04    0.18721E+01    0.29637E-04    0.18721E+01    0.45565E-01   -0.19196E-07    0.29637E-04   -0.19196E-07    0.98301E-10
    38    0.12218E+04    0.18278E+01    0.28210E-04    0.18278E+01    0.49869E-01   -0.14497E-07    0.28210E-04   -0.14497E-07    0.93048E-10
    39    0.12420E+04    0.17752E+01    0.26890E-04    0.17752E+01    0.54439E-01   -0.10835E-07    0.26890E-04   -0.10835E-07    0.88168E-10
    40    0.12623E+04    0.17115E+01    0.25663E-04    0.17115E+01    0.59296E-01   -0.81407E-08    0.25663E-04   -0.81407E-08    0.83628E-10
    41    0.12829E+04    0.16344E+01    0.24518E-04    0.16344E+01    0.64461E-01   -0.63388E-08    0.24518E-04   -0.63388E-08    0.79396E-10
    42    0.13036E+04    0.15435E+01    0.23446E-04    0.15435E+01    0.69932E-01   -0.53181E-08    0.23446E-04   -0.53181E-08    0.75448E-10
    43    0.13245E+04    0.14393E+01    0.22442E-04    0.14393E+01    0.75707E-01   -0.49590E-08    0.22442E-04   -0.49590E-08    0.71762E-10
    44    0.13455E+04    0.13230E+01    0.21499E-04    0.13230E+01    0.81763E-01   -0.51422E-08    0.21499E-04   -0.51422E-08    0.68316E-10
    45    0.13669E+04    0.11961E+01    0.20609E-04    0.11961E+01    0.88093E-01   -0.57481E-08    0.20609E-04   -0.57481E-08    0.65089E-10
    46    0.13887E+04    0.10575E+01    0.19767E-04    0.10575E+01    0.94693E-01   -0.66556E-08    0.19767E-04   -0.66556E-08    0.62061E-10
    47    0.14107E+04    0.90675E+00    0.18970E-04    0.90675E+00    0.10157E+00   -0.77377E-08    0.18970E-04   -0.77377E-08    0.59217E-10
    48    0.14328E+04    0.74632E+00    0.18217E-04    0.74632E+00    0.10874E+00   -0.88658E-08    0.18217E-04   -0.88658E-08    0.56544E-10
    49    0.14551E+04    0.57796E+00    0.17505E-04    0.57796E+00    0.11621E+00   -0.99112E-08    0.17505E-04   -0.99112E-08    0.54031E-10
    50    0.14778E+04    0.39667E+00    0.16833E-04    0.39667E+00    0.12395E+00   -0.10745E-07    0.16833E-04   -0.10745E-07    0.51664E-10
    51    0.15007E+04    0.19662E+00    0.16199E-04    0.19662E+00    0.13195E+00   -0.11264E-07    0.16199E-04   -0.11264E-07    0.49432E-10
    52    0.15240E+04   -0.25742E-01    0.15601E-04   -0.25742E-01    0.14029E+00   -0.11465E-07    0.15601E-04   -0.11465E-07    0.47326E-10
    53    0.15473E+04   -0.27154E+00    0.15037E-04   -0.27154E+00    0.14911E+00   -0.11369E-07    0.15037E-04   -0.11369E-07    0.45337E-10
    54    0.15705E+04   -0.53394E+00    0.14505E-04   -0.53394E+00    0.15840E+00   -0.10997E-07    0.14505E-04   -0.10997E-07    0.43458E-10
    55    0.15939E+04   -0.80598E+00    0.14003E-04   -0.80598E+00    0.16813E+00   -0.10372E-07    0.14003E-04   -0.10372E-07    0.41681E-10
    56    0.16177E+04   -0.10874E+01    0.13529E-04   -0.10874E+01    0.17814E+00   -0.95329E-08    0.13529E-04   -0.95329E-08    0.39997E-10
    57    0.16419E+04   -0.13787E+01    0.13080E-04   -0.13787E+01    0.18831E+00   -0.86003E-08    0.13080E-04   -0.86003E-08    0.38401E-10
    58    0.16664E+04   -0.16817E+01    0.12653E-04   -0.16817E+01    0.19863E+00   -0.77120E-08    0.12653E-04   -0.77120E-08    0.36889E-10
    59    0.16911E+04   -0.19981E+01    0.12246E-04   -0.19981E+01    0.20912E+00   -0.70066E-08    0.12246E-04   -0.70066E-08    0.35453E-10
