#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.342243E-05   0.372972E+06   0.372972E+06   0.497296E+06   0.497296E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.822048E-01
   0.353847E-05   0.372972E+06   0.372972E+06   0.497296E+06   0.497296E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.849919E-01
   0.365844E-05   0.372972E+06   0.372972E+06   0.497296E+06   0.497296E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.878736E-01
   0.378248E-05   0.372972E+06   0.372972E+06   0.497296E+06   0.497296E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.908529E-01
   0.391072E-05   0.372972E+06   0.372972E+06   0.497296E+06   0.497296E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.939332E-01
   0.404331E-05   0.372972E+06   0.372972E+06   0.497296E+06   0.497296E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.971180E-01
   0.418040E-05   0.372972E+06   0.372972E+06   0.497296E+06   0.497296E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.100411E+00
   0.432214E-05   0.372972E+06   0.372972E+06   0.497296E+06   0.497296E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.103815E+00
   0.446868E-05   0.372972E+06   0.372972E+06   0.497296E+06   0.497296E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.107335E+00
   0.462019E-05   0.372972E+06   0.372972E+06   0.497296E+06   0.497296E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.110974E+00
   0.477683E-05   0.372972E+06   0.372972E+06   0.497296E+06   0.497296E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.114737E+00
   0.493879E-05   0.372972E+06   0.372972E+06   0.497296E+06   0.497296E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.118627E+00
   0.510624E-05   0.372972E+06   0.372972E+06   0.497295E+06   0.497295E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.122649E+00
   0.527937E-05   0.372972E+06   0.372972E+06   0.497295E+06   0.497295E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.126807E+00
   0.545836E-05   0.372972E+06   0.372972E+06   0.497295E+06   0.497295E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.131107E+00
   0.564343E-05   0.372972E+06   0.372972E+06   0.497295E+06   0.497295E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.135552E+00
   0.583477E-05   0.372972E+06   0.372972E+06   0.497295E+06   0.497295E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.140148E+00
   0.603259E-05   0.372972E+06   0.372972E+06   0.497295E+06   0.497295E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.144899E+00
   0.623713E-05   0.372972E+06   0.372972E+06   0.497295E+06   0.497295E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.149812E+00
   0.644860E-05   0.372972E+06   0.372972E+06   0.497295E+06   0.497295E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.154892E+00
   0.666723E-05   0.372972E+06   0.372972E+06   0.497295E+06   0.497295E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.160143E+00
   0.689328E-05   0.372972E+06   0.372972E+06   0.497295E+06   0.497295E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.165573E+00
   0.712700E-05   0.372972E+06   0.372972E+06   0.497295E+06   0.497294E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.171186E+00
   0.736864E-05   0.372972E+06   0.372972E+06   0.497294E+06   0.497294E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.176990E+00
   0.761847E-05   0.372972E+06   0.372972E+06   0.497294E+06   0.497294E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.182991E+00
   0.787678E-05   0.372972E+06   0.372972E+06   0.497294E+06   0.497294E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.189196E+00
   0.814384E-05   0.372972E+06   0.372972E+06   0.497294E+06   0.497294E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.195610E+00
   0.841995E-05   0.372972E+06   0.372972E+06   0.497294E+06   0.497294E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.202242E+00
   0.870543E-05   0.372972E+06   0.372972E+06   0.497294E+06   0.497293E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.209099E+00
   0.900058E-05   0.372972E+06   0.372972E+06   0.497293E+06   0.497293E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.216189E+00
   0.930575E-05   0.372972E+06   0.372972E+06   0.497293E+06   0.497293E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.223519E+00
   0.962126E-05   0.372972E+06   0.372972E+06   0.497293E+06   0.497293E+06   0.377346E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.231097E+00
   0.994746E-05   0.372972E+06   0.372972E+06   0.497293E+06   0.497292E+06   0.377345E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.238932E+00
   0.102847E-04   0.372972E+06   0.372972E+06   0.497293E+06   0.497292E+06   0.377345E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.247033E+00
   0.106334E-04   0.372972E+06   0.372972E+06   0.497292E+06   0.497292E+06   0.377345E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.255409E+00
   0.109940E-04   0.372972E+06   0.372972E+06   0.497292E+06   0.497292E+06   0.377345E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.264068E+00
   0.113667E-04   0.372972E+06   0.372972E+06   0.497292E+06   0.497291E+06   0.377345E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.273022E+00
   0.117521E-04   0.372972E+06   0.372972E+06   0.497291E+06   0.497291E+06   0.377345E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.282278E+00
   0.121505E-04   0.372972E+06   0.372972E+06   0.497291E+06   0.497291E+06   0.377345E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.291849E+00
   0.125625E-04   0.372972E+06   0.372972E+06   0.497291E+06   0.497290E+06   0.377345E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.301744E+00
   0.129884E-04   0.372972E+06   0.372972E+06   0.497290E+06   0.497290E+06   0.377345E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.311974E+00
   0.134288E-04   0.372972E+06   0.372972E+06   0.497290E+06   0.497289E+06   0.377345E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.322552E+00
   0.138841E-04   0.372972E+06   0.372972E+06   0.497289E+06   0.497289E+06   0.377345E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.333488E+00
   0.143548E-04   0.372972E+06   0.372972E+06   0.497289E+06   0.497288E+06   0.377345E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.344795E+00
   0.148415E-04   0.372972E+06   0.372972E+06   0.497288E+06   0.497288E+06   0.377345E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602737E+00   0.371818E+06   0.371818E+06   0.356485E+00
   0.153447E-04   0.372972E+06   0.372972E+06   0.497288E+06   0.497287E+06   0.377345E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602736E+00   0.371818E+06   0.371818E+06   0.368572E+00
   0.158650E-04   0.372972E+06   0.372972E+06   0.497287E+06   0.497286E+06   0.377344E+06   0.373165E+06   0.372972E+06   0.378515E+06  -0.602736E+00   0.371818E+06   0.371818E+06   0.381068E+00
   0.164029E-04   0.372972E+06   0.372972E+06   0.497286E+06   0.497286E+06   0.377344E+06   0.373165E+06   0.372972E+06   0.378514E+06  -0.602736E+00   0.371818E+06   0.371818E+06   0.393988E+00
   0.169590E-04   0.372972E+06   0.372972E+06   0.497286E+06   0.497285E+06   0.377344E+06   0.373165E+06   0.372972E+06   0.378514E+06  -0.602736E+00   0.371818E+06   0.371818E+06   0.407346E+00
   0.175340E-04   0.372972E+06   0.372972E+06   0.497285E+06   0.497284E+06   0.377344E+06   0.373165E+06   0.372972E+06   0.378514E+06  -0.602736E+00   0.371817E+06   0.371817E+06   0.421157E+00
   0.181285E-04   0.372972E+06   0.372972E+06   0.497284E+06   0.497283E+06   0.377344E+06   0.373165E+06   0.372972E+06   0.378514E+06  -0.602736E+00   0.371817E+06   0.371817E+06   0.435436E+00
   0.187432E-04   0.372972E+06   0.372972E+06   0.497283E+06   0.497282E+06   0.377344E+06   0.373165E+06   0.372972E+06   0.378514E+06  -0.602736E+00   0.371817E+06   0.371817E+06   0.450199E+00
   0.193787E-04   0.372972E+06   0.372972E+06   0.497282E+06   0.497281E+06   0.377344E+06   0.373165E+06   0.372972E+06   0.378514E+06  -0.602736E+00   0.371817E+06   0.371817E+06   0.465463E+00
   0.200357E-04   0.372972E+06   0.372972E+06   0.497282E+06   0.497280E+06   0.377343E+06   0.373165E+06   0.372972E+06   0.378514E+06  -0.602736E+00   0.371817E+06   0.371817E+06   0.481245E+00
   0.207150E-04   0.372972E+06   0.372972E+06   0.497280E+06   0.497279E+06   0.377343E+06   0.373165E+06   0.372972E+06   0.378514E+06  -0.602736E+00   0.371817E+06   0.371817E+06   0.497561E+00
   0.214173E-04   0.372972E+06   0.372972E+06   0.497279E+06   0.497278E+06   0.377343E+06   0.373165E+06   0.372972E+06   0.378514E+06  -0.602736E+00   0.371817E+06   0.371817E+06   0.514431E+00
   0.221435E-04   0.372972E+06   0.372972E+06   0.497278E+06   0.497277E+06   0.377343E+06   0.373165E+06   0.372972E+06   0.378514E+06  -0.602736E+00   0.371817E+06   0.371817E+06   0.531872E+00
   0.228942E-04   0.372972E+06   0.372972E+06   0.497277E+06   0.497276E+06   0.377343E+06   0.373165E+06   0.372972E+06   0.378514E+06  -0.602736E+00   0.371817E+06   0.371817E+06   0.549905E+00
   0.236705E-04   0.372972E+06   0.372972E+06   0.497276E+06   0.497274E+06   0.377342E+06   0.373165E+06   0.372972E+06   0.378514E+06  -0.602736E+00   0.371817E+06   0.371817E+06   0.568549E+00
   0.244730E-04   0.372972E+06   0.372972E+06   0.497274E+06   0.497272E+06   0.377342E+06   0.373164E+06   0.372972E+06   0.378514E+06  -0.602735E+00   0.371817E+06   0.371817E+06   0.587826E+00
   0.253028E-04   0.372972E+06   0.372972E+06   0.497273E+06   0.497271E+06   0.377342E+06   0.373164E+06   0.372972E+06   0.378514E+06  -0.602735E+00   0.371817E+06   0.371817E+06   0.607756E+00
   0.261607E-04   0.372972E+06   0.372972E+06   0.497271E+06   0.497269E+06   0.377341E+06   0.373164E+06   0.372972E+06   0.378514E+06  -0.602735E+00   0.371817E+06   0.371817E+06   0.628362E+00
   0.270476E-04   0.372972E+06   0.372971E+06   0.497269E+06   0.497267E+06   0.377341E+06   0.373164E+06   0.372972E+06   0.378514E+06  -0.602735E+00   0.371817E+06   0.371817E+06   0.649666E+00
   0.279647E-04   0.372971E+06   0.372971E+06   0.497267E+06   0.497265E+06   0.377341E+06   0.373164E+06   0.372971E+06   0.378514E+06  -0.602735E+00   0.371817E+06   0.371817E+06   0.671693E+00
   0.289128E-04   0.372971E+06   0.372971E+06   0.497265E+06   0.497263E+06   0.377340E+06   0.373164E+06   0.372971E+06   0.378514E+06  -0.602735E+00   0.371817E+06   0.371817E+06   0.694466E+00
   0.298931E-04   0.372971E+06   0.372971E+06   0.497263E+06   0.497261E+06   0.377340E+06   0.373164E+06   0.372971E+06   0.378513E+06  -0.602735E+00   0.371817E+06   0.371817E+06   0.718011E+00
   0.309066E-04   0.372971E+06   0.372971E+06   0.497261E+06   0.497258E+06   0.377340E+06   0.373164E+06   0.372971E+06   0.378513E+06  -0.602734E+00   0.371817E+06   0.371817E+06   0.742355E+00
   0.319545E-04   0.372971E+06   0.372971E+06   0.497258E+06   0.497256E+06   0.377339E+06   0.373164E+06   0.372971E+06   0.378513E+06  -0.602734E+00   0.371817E+06   0.371817E+06   0.767524E+00
   0.330379E-04   0.372971E+06   0.372971E+06   0.497256E+06   0.497253E+06   0.377339E+06   0.373164E+06   0.372971E+06   0.378513E+06  -0.602734E+00   0.371816E+06   0.371816E+06   0.793547E+00
   0.341581E-04   0.372971E+06   0.372971E+06   0.497253E+06   0.497250E+06   0.377338E+06   0.373164E+06   0.372971E+06   0.378513E+06  -0.602734E+00   0.371816E+06   0.371816E+06   0.820452E+00
   0.353162E-04   0.372971E+06   0.372971E+06   0.497250E+06   0.497247E+06   0.377338E+06   0.373164E+06   0.372971E+06   0.378513E+06  -0.602733E+00   0.371816E+06   0.371816E+06   0.848269E+00
   0.365136E-04   0.372971E+06   0.372971E+06   0.497247E+06   0.497243E+06   0.377337E+06   0.373164E+06   0.372971E+06   0.378513E+06  -0.602733E+00   0.371816E+06   0.371816E+06   0.877029E+00
   0.377515E-04   0.372971E+06   0.372971E+06   0.497243E+06   0.497239E+06   0.377336E+06   0.373163E+06   0.372971E+06   0.378512E+06  -0.602733E+00   0.371816E+06   0.371816E+06   0.906764E+00
